"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 2 (15)"
"10/28/2022 12:35:54:477 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"3","25","25","15","3","0","0","1000","0","98","25","1000"
"6","25","25","15","3","0","0","1000","0","187","25","1000"
"5","25","25","15","3","0","0","1000","0","114","25","1000"
"2","25","25","15","3","0","0","1000","0","83","25","1000"
"1","25","25","15","3","0","0","1000","0","162","25","1000"
"10","25","25","15","3","0","0","1000","0","123","25","1000"
"9","25","25","15","3","0","0","1000","0","120","25","1000"
"7","25","25","15","3","0","0","1000","0","103","25","1000"
"4","25","25","15","3","0","0","1000","0","67","25","1000"
"8","25","25","15","3","0","0","1000","0","76","25","1000"
